site_id,site_name,week_bin,t2m_mean_08_18,rh_mean_08_18,wind_mean,t2m_absmax_08_18,t2m_absmin_08_18,rh_absmax_08_18,wind_absmax,pct_t2m_08_18,pct_rh_08_18,pct_wind_max,pct_viability,suitability_rank,suitability_temp_rank,suitability_rh_rank,suitability_wind_rank,suitability_score,no_go_week,confidence
48,PRAIRIE SWITCH,1,13.9935925,68.29291902853352,3.1622472,18.811432,6.1440125,78.77342449585342,6.1588583,0.2857142857142857,0.7142857142857143,1.0,0.1428571428571428,1,1,3,1,0.1428571428571428,False,0.1428571428571428
1,BROKEN BOW II,1,-1.57350419,80.24770480648677,3.387395642857143,2.0194397,-11.33139,88.91593946719281,7.1572886,0.0,0.2857142857142857,1.0,0.0,2,2,6,1,0.0,True,0.0
2,BULLDOG WIND,1,-0.3578554757142856,68.18543633222723,2.6098260000000004,4.36734,-7.1326904,78.05869322839563,4.701606,0.0,0.8571428571428571,1.0,0.0,2,2,2,1,0.0,True,0.0
3,CARLETON COLLEGE,1,-1.6134104392857145,65.40377797076485,2.477675214285714,2.6405334,-6.053589,78.35134050614754,4.2758455,0.0,0.8571428571428571,1.0,0.0,2,2,2,1,0.0,True,0.0
4,CEDAR SPRINGS II-TPO 99,1,-3.060225368571429,62.26991666345647,3.6358025142857135,3.8783264,-13.738251,71.86873179095986,6.574,0.0,1.0,1.0,0.0,2,2,1,1,0.0,True,0.0
5,CEDAR SPRINGS II-TPO57N,1,-3.1058258185714287,61.75436469361515,3.986911914285714,4.138092,-13.618134,70.89772091451981,7.195724,0.0,1.0,1.0,0.0,2,2,1,1,0.0,True,0.0
6,CENTERVILLE,1,0.2308215085714285,69.12119937156272,2.4225331714285714,4.3644104,-3.5838623,81.36921086672224,4.5755353,0.0,0.8571428571428571,1.0,0.0,2,2,2,1,0.0,True,0.0
7,CENTURY OAK,1,8.288775185714284,64.07602808083242,3.3349448,15.152252,0.2340393,81.63533071280922,8.2998495,0.0,0.5714285714285714,1.0,0.0,2,2,4,1,0.0,True,0.0
8,CHARLES CITY,1,-1.1927022942857144,65.21069731469126,2.6309373857142857,3.9808655,-7.522339,75.22299117971572,4.862854,0.0,0.8571428571428571,1.0,0.0,2,2,2,1,0.0,True,0.0
9,CONTRAIL,1,-0.1119392705714285,69.96480877944803,2.5355116,4.435211,-7.0721436,77.65276560351487,4.7977247,0.0,0.7142857142857143,1.0,0.0,2,2,3,1,0.0,True,0.0
10,COYOTE RIDGE,1,-3.2835542957142856,71.42906416863518,3.3228841142857144,1.1556702,-8.8819275,81.86267377032318,5.38583,0.0,0.5714285714285714,1.0,0.0,2,2,4,1,0.0,True,0.0
11,CRESTON RIDGE,1,-0.8696185685714285,73.93398042976015,3.0861309857142856,3.6542053,-11.083862,80.1622045895133,6.224288,0.0,0.2857142857142857,1.0,0.0,2,2,6,1,0.0,True,0.0
12,CRESTON RIDGE II,1,-0.8696185685714285,73.93398042976015,3.0861309857142856,3.6542053,-11.083862,80.1622045895133,6.224288,0.0,0.2857142857142857,1.0,0.0,2,2,6,1,0.0,True,0.0
13,CUMBERLAND ROSE,1,-0.3578554757142856,68.18543633222723,2.6098260000000004,4.36734,-7.1326904,78.05869322839563,4.701606,0.0,0.8571428571428571,1.0,0.0,2,2,2,1,0.0,True,0.0
14,CUMING,1,-1.7268756385714286,77.26039603598892,3.100215242857143,2.8578186,-11.258148,84.1741003276375,6.016813,0.0,0.2857142857142857,1.0,0.0,2,2,6,1,0.0,True,0.0
15,DUNLAP RANCH,1,-6.423925228571428,65.46778115124005,3.1846607857142857,-0.43710327,-17.324158,72.74352556703482,11.033497,0.0,1.0,0.8571428571428571,0.0,2,2,1,2,0.0,True,0.0
16,DUNLAP RANCH II,1,-6.423925228571428,65.46778115124005,3.1846607857142857,-0.43710327,-17.324158,72.74352556703482,11.033497,0.0,1.0,0.8571428571428571,0.0,2,2,1,2,0.0,True,0.0
17,EAST FORK,1,1.5017545794285714,68.3629874224155,3.2500582857142857,8.242584,-8.432953,89.7638042536179,6.6189494,0.0,0.7142857142857143,1.0,0.0,2,2,3,1,0.0,True,0.0
18,ELK REPOWER,1,-0.7043892814285714,66.29013662126955,2.4085949285714285,2.8839417,-6.0750732,73.67897925466434,4.4005084,0.0,1.0,1.0,0.0,2,2,1,1,0.0,True,0.0
19,EWINGTON,1,-1.991669882857143,67.95763916408552,3.114220842857143,2.8241272,-8.521362,78.80452843729392,5.45024,0.0,0.8571428571428571,1.0,0.0,2,2,2,1,0.0,True,0.0
20,FLAT WATER,1,0.7086966328571428,71.92481406023141,2.438398614285714,5.77652,-6.5203857,81.25650051663477,4.44907,0.0,0.5714285714285714,1.0,0.0,2,2,4,1,0.0,True,0.0
21,FORWARD FONTANELLE,1,-0.4505781571428571,68.1925305142707,2.5780081714285714,4.3888245,-7.3983154,77.7337334961876,4.664922,0.0,0.8571428571428571,1.0,0.0,2,2,2,1,0.0,True,0.0
