site_id,site_name,week_bin,t2m_mean_08_18,rh_mean_08_18,wind_mean,t2m_absmax_08_18,t2m_absmin_08_18,rh_absmax_08_18,wind_absmax,pct_t2m_08_18,pct_rh_08_18,pct_wind_max,pct_viability,suitability_rank,suitability_temp_rank,suitability_rh_rank,suitability_wind_rank,suitability_score,no_go_week,confidence
48,PRAIRIE SWITCH,1,16.201530535714287,64.39404840894755,3.5020043999999997,28.086761,0.6668396,89.29463920824496,9.052096,0.5714285714285714,0.75,1.0,0.3571428571428571,1,1,7,1,0.3571428571428571,False,0.3571428571428571
35,LIMESTONE,1,12.257659392857143,57.54780314104137,3.8000614571428573,24.543549,-4.195038,88.47061679043117,8.399537,0.21428571428571427,0.9642857142857143,1.0,0.17857142857142855,2,2,2,1,0.17857142857142855,False,0.17857142857142855
36,LIMESTONE F06 REPLACEMENT,1,12.166407853571428,58.12973432493649,3.8000614571428573,24.411713,-4.2341003,88.97905739250054,8.399537,0.21428571428571427,0.9285714285714286,1.0,0.17857142857142855,2,2,3,1,0.17857142857142855,False,0.17857142857142855
7,CENTURY OAK,1,10.78070059642857,46.004028486851325,4.31063815,24.154694,-4.260193,81.63533071280922,9.852187,0.14285714285714282,0.8928571428571428,1.0,0.14285714285714282,3,3,4,1,0.14285714285714282,False,0.14285714285714282
65,WILLOW SPRINGS,1,9.922081841785714,45.2407401001182,4.192631403571429,25.543365,-4.3782043,79.46902591978225,10.014204,0.14285714285714282,0.9285714285714286,0.9642857142857143,0.14285714285714282,3,3,3,2,0.14285714285714282,False,0.14285714285714282
37,LOCKETT WIND,1,8.915239607142857,50.180131277212595,3.953690164285714,23.67276,-5.1496887,74.24321912740632,10.24923,0.10714285714285712,1.0,0.9642857142857143,0.10714285714285712,4,4,1,2,0.10714285714285712,False,0.10714285714285712
64,WESTERN TRAIL,1,9.351258852499999,50.51022248410606,3.895268425,24.16446,-4.483673,75.46276610893736,9.752481,0.10714285714285712,0.9642857142857143,1.0,0.10714285714285712,4,4,2,1,0.10714285714285712,False,0.10714285714285712
1,BROKEN BOW II,1,-2.651238129642857,68.79154079998864,4.03624725,11.307526,-19.765152,88.91593946719281,9.9400215,0.0,0.46428571428571425,1.0,0.0,5,5,17,1,0.0,True,0.0
2,BULLDOG WIND,1,-3.5982387382142864,71.02487158601676,3.8513605392857144,6.891266,-24.334412,95.79843889212476,10.071749,0.0,0.6428571428571428,0.9642857142857143,0.0,5,5,10,2,0.0,True,0.0
3,CARLETON COLLEGE,1,-6.448235366964285,76.95467892708919,2.7720966785714287,2.6405334,-30.470947,92.35086453743982,6.8965216,0.0,0.42857142857142855,1.0,0.0,5,5,19,1,0.0,True,0.0
