Site ID,Site Name,Lat,Long,State
1,BROKEN BOW II,41.54459407,-99.54228945,NE
2,BULLDOG WIND,41.225693,-94.440491,IA
3,CARLETON COLLEGE,44.468742,-93.127914,MN
4,CEDAR SPRINGS II-TPO 99,42.92377179,-105.3432829,WY
5,CEDAR SPRINGS II-TPO57N,42.9916722,-105.41856289,WY
6,CENTERVILLE,40.70867867,-92.8558179,IA
7,CENTURY OAK,32.40597426,-99.18417734,TX
8,CHARLES CITY,43.004192,-92.726494,IA
9,CONTRAIL,40.73590331,-94.79795817,IA
10,COYOTE RIDGE,44.43270111,-96.58152771,SD
11,CRESTON RIDGE,41.67762995,-97.38336232,NE
12,CRESTON RIDGE II,41.6774624,-97.40484715,NE
13,CUMBERLAND ROSE,41.227093,-94.434891,IA
14,CUMING,42.02002315,-96.86184174,NE
15,DUNLAP RANCH,42.00289209,-106.18611111,WY
16,DUNLAP RANCH II,42.04628433,-106.18611111,WY
17,EAST FORK,39.32817104,-100.94561929,KS
18,ELK REPOWER,42.588182,-91.36580754,IA
19,EWINGTON,43.62909721,-95.43336466,MN
20,FLAT WATER,40.00720442,-95.85941592,IA
21,FORWARD FONTANELLE,41.339592,-94.570694,IA
22,FRANKLIN COUNTY,40.30951331,-98.95655093,NE
23,GLENROCK,43.070091,-105.832787,WY
24,GLENROCK III,43.017391,-105.796288,WY
25,GLENVILLE,43.58080286,-93.30788904,IA
26,GREEN ENERGY MACHINE,41.37022,-94.75351,IA
27,GREENFIELD,41.29052,-94.488579,IA
28,HASTINGS,40.569241,-98.334496,NE
29,HAWKEYE REPOWER,42.93946301,-92.05224503,IA
30,IDA GROVE,42.38330304,-95.38900252,IA
31,IDA GROVE II,42.43356628,-95.40434965,IA
32,INDEPENDENCE,42.3770944,-91.50871667,IA
33,INTREPID,42.571888,-95.345078,IA
34,JAYHAWK,37.73851665,-95.06624843,KS
35,LIMESTONE,31.76671938,-96.70348114,TX
36,LIMESTONE F06 REPLACEMENT,31.82619663,-96.66147442,TX
37,LOCKETT WIND,34.11267465,-99.26527271,TX
38,MANCHESTER,42.45855211,-91.52719342,IA
39,MASON CITY,43.14458072,-93.10041994,IA
40,MASON CITY 2.3-116 WTG,43.13842811,-93.09731911,IA
41,MEADOW RIDGE,41.390095,-94.446289,IA
42,PALMERS CREEK,44.86929408,-95.6068795,MN
43,PERENNIAL,40.63387686,-97.61364648,NE
44,PETERSBURG,41.86297441,-98.013525,IA
45,PIONEER WIND PARK,42.677792,-105.880798,WY
46,POLK,41.16573453,-97.568,NE
47,PRAIRIE BREEZE,41.91843378,-98.1088913,NE
48,PRAIRIE SWITCH,29.20031797,-96.187319,TX
49,ROCK COUNTY WIND,43.64193157,-96.26247971,MN
50,ROLLING HILLS,43.012592,-105.818787,WY
51,SEVEN MILE HILL,41.952194,-106.365585,WY
52,SEWARD,40.895283,-97.187675,NE
53,SHOOTING STAR,37.510693,-99.470688,KS
54,SKYVOLT,41.290779,-94.485252,IA
55,SOUTHFORK,43.59384918,-95.43040466,MN
56,SUNFLOWER,38.25926244,-97.07592087,KS
57,SUNZIA WIND SOUTH,34.3284,-105.6009,NM
58,TATANKA,44.62541484,-96.69606342,SD
59,VALENTINE,42.5707778,-101.1835277,NE
60,WALNUT,41.451694,-95.235092,IA
61,WALNUT EXPANSION,41.494095,-95.255989,IA
62,WALNUT EXPANSION III,41.484093,-95.168793,IA
63,WESTERN PLAINS,39.12166694,-100.73263901,KS
64,WESTERN TRAIL,33.8741,-99.0863,TX
65,WILLOW SPRINGS,33.37989611,-99.68645338,TX
66,WIND GEM,41.469986,-94.339256,IA
67,WIOTA,41.391495,-94.876793,IA
68,WOLVERINE,41.393093,-94.444794,IA
